Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1509023	1509125	-0.43	-0.515852186585984	0.065	-0.448	102	0.630365794337994	0.999972164928834	loss	882.882	1188.194	1079.422	970.89	-0.567	-0.323	2
2	0	-	chr1	2408027	2408151	-0.265	-1.34828225196733	0.118	-0.234	124	0.607904565985061	0.999972164928834	loss	319.717	377.55	390.5	308.223	-0.643	-0.119	1
3	0	-	chr1	2409914	2410061	-0.069	-1.19593438199737	0.158	-0.104	147	0.661838928149794	0.999972164928834	loss	323.552	341.273	395.19	278.568	-0.337	0.224	1
4	0	-	chr1	2411172	2411416	-0.271	-2.50809986195654	0.136	-0.319	244	0.644865950059134	0.999972164928834	loss	88.645	109.267	107.828	88.912	-0.478	0.018	1
5	0	-	chr1	2411621	2411751	-0.182	-1.20729257188071	0.19	-0.121	130	0.627289980056015	0.999972164928834	loss	346.304	396.522	423.023	323.731	-0.55	0.062	1
6	0	-	chr1	2415886	2416057	-0.097	-0.927493568139114	0.164	-0.132	171	0.644716819024722	0.999972164928834	loss	449.624	469.184	549.415	383.129	-0.441	0.261	1
7	0	-	chr1	2418345	2418439	0.046	-0.873596897834118	0.067	0.053	94	0.695077653959095	0.999972164928834	loss	423.969	409.69	518.032	334.496	-0.065	0.142	1
8	0	-	chr1	2418611	2418815	-0.053	-1.47229639367075	0.097	-0.052	204	0.669317594639407	0.999972164928834	loss	237.358	245.838	289.75	200.554	-0.342	0.138	1
9	0	-	chr1	2419036	2419157	-0.235	-0.979792113627002	0.034	-0.23	121	0.586718355942558	0.999972164928834	loss	463.951	544.95	566.942	445.065	-0.326	-0.154	1
10	0	-	chr1	2420645	2420817	-0.238	-1.05140789104009	0.057	-0.237	172	0.593496138782793	0.999972164928834	loss	429.618	506.485	524.942	413.622	-0.378	-0.108	1
11	0	-	chr1	2421198	2421306	0.001	-0.697936535747527	0.12	-0.013	108	0.679727559694881	0.999972164928834	loss	530.296	530.385	648.102	433.159	-0.24	0.233	1
12	0	-	chr1	2422630	2422774	0.071	-0.552478704258825	0.038	0.062	144	0.713834562075938	0.999972164928834	loss	589.848	561.888	720.951	458.911	-0.006	0.166	1
13	0	-	chr1	2426294	2426387	-0.087	-1.13300434842786	0.108	-0.061	93	0.655166941216579	0.999972164928834	loss	354.046	372.176	432.495	303.829	-0.379	0.046	1
14	0	-	chr1	2426926	2427009	0.096	-1.16887936178184	0.074	0.118	83	0.703462819172802	0.999972164928834	loss	296.44	275.459	362.024	224.768	-0.089	0.197	1
15	0	-	chr1	2428045	2428143	0.082	-0.975447603832092	0.062	0.073	98	0.703716510871811	0.999972164928834	loss	368.348	348.86	449.99	284.77	-0.029	0.226	1
16	0	-	chr1	2428266	2428449	-0.027	-1.05160705629025	0.084	-0.021	183	0.672137507281053	0.999972164928834	loss	370.335	373.047	452.421	304.542	-0.247	0.115	1
17	0	-	chr1	2428940	2429048	0.103	-1.38625299906435	0.059	0.126	108	0.701598763047172	0.999972164928834	loss	232.212	215.463	283.454	175.723	-0.039	0.199	1
18	0	-	chr1	2429961	2430086	0.031	-1.79641176739558	0.166	0.066	125	0.685946100276767	0.999972164928834	loss	154.176	155.331	187.992	126.568	-0.235	0.411	1
19	0	-	chr1	2430182	2430267	-0.141	-1.55001093800153	0.031	-0.14	85	0.650603652961686	0.999972164928834	loss	232.245	256.406	283.494	209.192	-0.22	-0.066	1
20	0	-	chr1	2430522	2430669	0.017	-1.21534034006986	0.217	0.093	147	0.68453746999873	0.999972164928834	loss	298.077	294.498	364.027	240.331	-0.477	0.263	1
21	0	-	chr1	2431079	2431159	0.209	-0.81542836403396	0.044	0.193	80	0.742742032665642	0.999972164928834	loss	398.377	345.15	486.725	281.737	0.144	0.317	1
22	0	-	chr1	2433550	2433848	-0.639	-3.25642448481719	0.183	-0.605	298	0.609154910300821	0.999972164928834	loss	51.63	79.045	62.547	64.208	-1.157	-0.254	1
23	0	-	chr1	2435360	2436652	-0.363	-2.91416809091297	0.438	-0.313	1290	0.638745823842849	0.999972164928834	loss	63.081	77.394	76.555	62.858	-2.429	0.653	1
24	0	-	chr1	3003428	3003530	-0.09	-0.297198465817925	0.161	-0.111	102	0.742374465854181	0.999972164928834	loss	883.018	931.144	1079.588	760.763	-0.405	0.154	2
25	0	-	chr1	4510054	4510156	0.269	-0.0236840469659488	0.041	0.27	102	0.975958030290718	0.999972164928834	loss	903.823	748.727	1105.039	611.645	0.183	0.341	2
