Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	345	345	762097	1322049	-0.0062	-0.006206132311704	0.00869565217391304	No
chr1	346	370	25	1322049	1354998	0.1002	0.1002175655076	0	No
chr1	371	375	5	1355455	1363115	0.5053	0.505301890511964	0.4	CNV
chr1	376	726	350	1370797	2431204	0.0692	0.0692220795487002	0.0142857142857143	No
chr1	727	764	38	2433583	2461405	-0.0864	-0.0863520311667981	0	No
chr1	765	837	73	2461405	3328106	0.0793	0.079273847667691	0	No
chr1	838	1018	181	3328106	3745953	-0.0305	-0.0274357999641962	0	No
chr1	1019	1040	22	3746300	3786425	0.1825	0.182474540852938	0	No
chr1	1041	1071	31	3788973	5923553	-0.0269	-0.0268602879732792	0.032258064516129	No
chr1	1072	1102	31	5923851	6100672	0.2079	0.207865409293586	0	No
chr1	1103	1613	511	6101781	8568815	0.0514	0.0513894601996515	0.0136986301369863	No
chr1	1614	1653	40	8585813	9085153	0.203	0.202992718665908	0.025	No
chr1	1654	1828	175	9086233	9816716	0.0587	0.0586709211402892	0.00571428571428571	No
chr1	1829	1832	4	9833365	9884645	-0.396	-0.395975203690322	0.25	No
chr1	1833	1888	55	9908270	10182245	0.0858	0.120850911108345	0.0181818181818182	No
chr1	1889	2010	122	10186793	10494785	0.1701	0.170127559143669	0	No
chr1	2011	2013	3	10500273	10502786	-0.7663	-0.766322381259646	0.333333333333333	No
chr1	2014	2088	75	10509730	10754033	0.0317	0.0317170080535267	0	No
chr1	2089	2231	143	10754337	11334155	0.1636	0.163597671232749	0	No
chr1	2232	2437	206	11345635	12010026	0.0594	0.0593612597309139	0.00970873786407767	No
chr1	2438	2600	163	12010389	12557659	0.1458	0.145830324796502	0	No
chr1	2601	2778	178	12566829	15546313	5e-04	0.000468992501954481	0.0168539325842697	No
chr1	2779	2994	216	15546436	16242798	0.1053	0.10528624193223	0.00925925925925926	No
chr1	2995	3111	117	16245380	16386479	0.0226	0.0225775410031612	0	No
chr1	3112	3115	4	16388549	16400111	0.4628	0.462795914951844	0.5	CNV
chr1	3116	3193	78	16450779	16621470	0.0382	0.0381784425860592	0	No
chr1	3194	3222	29	16632201	16748502	0.4152	0.415249911408609	0	No
chr1	3223	3483	260	16751674	18554565	0.0989	0.0964938066753557	0.0307692307692308	No
chr1	3484	3602	119	18605333	19408801	-0.0119	-0.0119114943351965	0.00840336134453781	No
chr1	3603	3664	62	19411069	19478169	0.105	0.105024948543712	0.0161290322580645	No
chr1	3665	3666	2	19478169	19478937	0.7098	0.709763406086255	0.5	CNV
chr1	3667	4786	1116	19479726	24298445	0.0645	0.065824665866393	0.010752688172043	No
chr1	4787	4788	2	24301567	24305399	0.7284	0.728421073614257	0.5	CNV
chr1	4789	5033	245	24306731	25611190	0.0773	0.0747220203210405	0.0122448979591837	No
chr1	5034	5042	9	25617049	25656885	-0.3245	-0.324488160785081	0.111111111111111	No
chr1	5043	5553	510	25666942	27278981	0.0702	0.0717226520473013	0.00784313725490196	No
chr1	5554	5557	4	27320184	27321131	-0.4998	-0.499794249029647	0	No
chr1	5558	7155	1590	27331461	35919248	0.0764	0.0749245017563402	0.010062893081761	No
chr1	7156	7226	71	35919996	36209130	0.2777	0.2777226041493	0	No
chr1	7227	7358	132	36210935	36563252	0.0803	0.0803099266377936	0	No
chr1	7359	7366	8	36563252	36565913	-0.2523	-0.25234034098497	0	No
chr1	7367	7720	354	36602213	38338853	0.0543	0.051418671333412	0.00282485875706215	No
chr1	7721	7729	9	38339684	38354116	0.4095	0.409507807210664	0	No
chr1	7730	7780	51	38355215	38490050	0.1039	0.103859994403805	0.0196078431372549	No
chr1	7781	7792	12	38490357	38512458	-0.2491	-0.351130360712958	0.0833333333333333	No
chr1	7793	7836	44	38554881	39395226	0.1126	0.112598073897968	0.0227272727272727	No
chr1	7837	7838	2	39456909	39457379	-0.5424	-0.542363697348347	0	No
chr1	7839	8495	657	39463887	42643339	0.0672	0.0656514545457287	0.0030441400304414	No
chr1	8496	8501	6	42643339	42645288	-0.2653	-0.265336772405759	0	No
chr1	8502	8549	48	42645288	43022046	0.1066	0.106635375169081	0	No
chr1	8550	8562	13	43023652	43119198	0.3309	0.330869360974422	0	No
chr1	8563	9796	1232	43119427	47844505	0.074	0.0740378112302723	0.00649350649350649	No
chr1	9797	9815	19	47881731	47905140	-0.1645	-0.164480646139102	0	No
