Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	370	370	762097	1354998	0.2165	0.216532983921426	0.0108108108108108	No
chr1	371	372	2	1355455	1356061	1.0792	1.07919101705485	1	CNV
chr1	373	484	112	1356223	1572488	0.2571	0.244214312771949	0.0357142857142857	No
chr1	485	918	434	1582526	3477343	0.1913	0.194836024545242	0.00921658986175115	No
chr1	919	920	2	3496403	3512104	0.919	0.919005877947485	0	No
chr1	921	1001	81	3518981	3713054	0.1957	0.195725400999862	0.0123456790123457	No
chr1	1002	1003	2	3728548	3729148	-0.5356	-0.535550016509706	0	No
chr1	1004	1208	205	3729378	6295044	0.1825	0.182520482369909	0.0146341463414634	No
chr1	1209	1414	206	6295723	6693547	0.2743	0.274293758179644	0.029126213592233	No
chr1	1415	1567	153	6694026	8075505	0.1106	0.110646889496341	0.0196078431372549	No
chr1	1568	1636	69	8075505	9019165	0.2013	0.201349413134702	0	No
chr1	1637	1638	2	9022562	9027968	0.9861	0.986111362614543	0.5	CNV
chr1	1639	1913	274	9030864	10318743	0.2286	0.239625305592917	0.0145985401459854	No
chr1	1914	1967	54	10321877	10421080	0.0258	0.0258235814727325	0	No
chr1	1968	2520	553	10421782	12268244	0.2338	0.233838094880449	0.00361663652802893	No
chr1	2521	2737	217	12268456	14925765	0.0987	0.0987266758188944	0.00460829493087558	No
chr1	2738	2742	5	15250567	15370633	0.5733	0.573256940577646	0.4	CNV
chr1	2743	2756	14	15382515	15430077	0.0432	0.043187008625295	0	No
chr1	2757	2761	5	15430519	15441812	0.3841	0.384084210266504	0	No
chr1	2762	2792	31	15441812	15653753	0.0418	0.0417906747812959	0	No
chr1	2793	3982	1188	15654697	20811957	0.1806	0.180555666989486	0.0193602693602694	No
chr1	3983	3985	3	20811957	20812696	0.8943	0.894318374881888	0.333333333333333	No
chr1	3986	4066	81	20826017	21054059	0.2289	0.228914081770841	0.0123456790123457	No
chr1	4067	4128	62	21054342	21299646	0.0151	0.0150597562957198	0.0161290322580645	No
chr1	4129	4220	92	21306774	21995888	0.2495	0.225557809657361	0.0326086956521739	No
chr1	4221	4256	36	22005111	22084285	0.0352	0.0352146496177267	0	No
chr1	4257	4399	142	22109331	22832665	0.2392	0.2337411428461	0.028169014084507	No
chr1	4400	4595	194	22834431	23689778	0.1193	0.119285293124604	0.0103092783505155	No
chr1	4596	4770	175	23693446	24255770	0.2134	0.225804676773733	0.00571428571428571	No
chr1	4771	4786	16	24288395	24298445	-0.3259	-0.325854087382727	0.0625	No
chr1	4788	5032	245	24305279	25573457	0.1728	0.172769443130139	0.00816326530612245	No
chr1	5033	5042	10	25611070	25656885	-0.4722	-0.621593885377668	0.1	No
