Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	53	53	762097	906456	0.3171	0.317059286886484	0	No
chr1	54	83	30	906456	949922	0.4371	0.437070797666908	0	No
chr1	84	86	3	955563	970750	0.8334	0.833362941370065	0	No
chr1	87	593	507	975949	1951012	0.4075	0.40878586231326	0.0216962524654832	No
chr1	594	601	8	1956285	1961713	0.232	0.231951044105815	0	No
chr1	602	608	7	1961713	2002792	0.4414	0.441448516929219	0	No
chr1	609	625	17	2005468	2113796	0.2371	0.237088455026726	0	No
chr1	626	671	45	2113796	2268336	0.4178	0.417760986018997	0	No
chr1	672	1139	468	2286562	6184676	0.2725	0.272508429778962	0.00213675213675214	No
chr1	1140	1323	184	6185153	6582093	0.3728	0.372756868379904	0.00543478260869565	No
chr1	1324	1325	2	6582228	6582665	1.017	1.0169697434096	0	No
chr1	1326	1420	95	6583200	6695503	0.3724	0.372446612597385	0.0105263157894737	No
chr1	1421	1470	50	6695546	7805022	0.2412	0.241165728411806	0	No
chr1	1471	1535	65	7805947	7907973	0.101	0.101036166897458	0	No
chr1	1536	1619	84	7909564	8716449	0.2159	0.215937531778431	0.0119047619047619	No
chr1	1620	1637	18	8921001	9022735	0.388	0.387966251830516	0.0555555555555556	No
chr1	1638	1922	283	9027771	10338223	0.3201	0.320085930693702	0.00353356890459364	No
chr1	1923	1966	44	10339105	10412778	0.1297	0.129709886270996	0	No
chr1	1967	2156	190	10420868	11155991	0.3617	0.361736597209188	0	No
chr1	2157	2212	56	11158035	11291173	0.1925	0.192532275902942	0	No
chr1	2213	2240	28	11291383	11348236	0.3681	0.368075915691816	0	No
chr1	2241	2270	30	11348236	11597687	0.1997	0.199681264659951	0	No
chr1	2271	2372	102	11708248	11851453	0.381	0.381001824327929	0	No
chr1	2373	2423	51	11852267	11917716	0.2261	0.226067241240473	0.0196078431372549	No
chr1	2424	2526	103	11918192	12304728	0.3592	0.35915939674219	0.00970873786407767	No
chr1	2527	2704	178	12309219	14107086	0.1334	0.133376449910094	0.00561797752808989	No
chr1	2705	2721	17	14107086	14143101	-0.0576	-0.0576151982423998	0	No
chr1	2722	2778	57	14149683	15546313	0.1363	0.155928352283393	0.0350877192982456	No
chr1	2779	2998	220	15546436	16248878	0.3107	0.310673703132071	0.00909090909090909	No
chr1	2999	3026	28	16254558	16261967	0.126	0.125993683478262	0	No
chr1	3027	3106	80	16261967	16382984	0.272	0.271971525779085	0	No
chr1	3107	3109	3	16384393	16385301	0.7704	0.770443530288283	0	No
chr1	3110	3239	130	16385868	16802559	0.286	0.286029999377854	0.00769230769230769	No
chr1	3240	3309	70	17017582	17326797	0.4424	0.430471114889175	0.0571428571428571	No
chr1	3310	3437	128	17326797	17755808	0.2884	0.2884240309378	0.015625	No
chr1	3438	3605	168	17764773	19413403	0.186	0.186035159424226	0.0119047619047619	No
chr1	3606	3681	76	19414314	19491886	0.0669	0.0668898164982345	0.0131578947368421	No
chr1	3682	3841	160	19492115	20027482	0.2666	0.266574707932081	0.025	No
chr1	3842	3975	134	20063734	20680556	0.1662	0.166192328310275	0	No
chr1	3976	4067	92	20680556	21054539	0.3018	0.301752856547803	0.0108695652173913	No
chr1	4068	4133	66	21069104	21315782	0.0696	0.0696123599821158	0	No
chr1	4134	4248	115	21324036	22059355	0.2491	0.24909169057281	0.0173913043478261	No
chr1	4249	4376	127	22062966	22408401	0.3398	0.339809129191864	0.015748031496063	No
chr1	4377	4392	16	22413000	22592850	0.2251	0.26821536497318	0.0625	No
chr1	4393	4414	22	22816427	22853737	0.0496	0.0495518172542107	0	No
chr1	4415	4505	89	22853804	23357069	0.2318	0.231761767442653	0	No
chr1	4506	4559	54	23370713	23420956	0.02	0.0200362944673631	0	No
chr1	4560	4567	8	23518429	23521001	0.361	0.360962560368732	0	No
chr1	4568	4575	8	23521001	23645283	-0.0034	-0.0034110277232593	0	No
