Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	65	65	762097	911363	0.5442	0.544225052769103	0	No
chr1	66	264	199	911363	1245322	0.685	0.692960847032269	0.0050251256281407	No
chr1	265	288	24	1245952	1262384	0.4647	0.464735633215035	0	No
chr1	289	370	82	1262675	1354998	0.6522	0.652194999786658	0.0121951219512195	No
chr1	371	382	12	1355455	1375509	1.0291	1.02906167443392	0.166666666666667	No
chr1	383	497	115	1375509	1601649	0.6479	0.64787677666916	0.0260869565217391	No
chr1	498	847	349	1602842	3342816	0.5631	0.564780553347013	0.00573065902578797	No
chr1	848	868	21	3347353	3355226	0.2689	0.26888822025441	0	No
chr1	869	891	23	3379665	3410643	0.5477	0.54768111352137	0	No
chr1	892	924	33	3410999	3542152	0.7784	0.7784261716467	0	No
chr1	925	1104	180	3542219	6111751	0.4947	0.494727224500293	0.0111111111111111	No
chr1	1105	1168	64	6132700	6246003	-0.5864	-0.586399084980459	0	No
chr1	1169	1178	10	6253079	6270070	-0.2113	-0.211319078336297	0	No
chr1	1179	1216	38	6270298	6308534	-0.5964	-0.596408254752376	0	No
chr1	1217	1326	110	6308577	6583370	-0.4026	-0.391328452727316	0.0545454545454545	No
chr1	1327	1387	61	6583650	6659246	-0.5874	-0.587406596687945	0.0163934426229508	No
chr1	1388	1395	8	6659246	6674190	-0.0922	-0.0922419712496852	0	No
chr1	1396	1738	342	6676701	9429586	-0.6007	-0.598990064879444	0.0116959064327485	No
chr1	1739	1829	91	9599594	9833535	0.549	0.549047489092784	0.010989010989011	No
chr1	1830	1831	2	9883744	9884345	1.3797	1.37971408424541	0	No
chr1	1832	1932	99	9884345	10363666	0.531	0.531029770431989	0	No
chr1	1933	1946	14	10363666	10367401	0.2558	0.255791781010455	0	No
chr1	1947	2056	110	10367631	10698143	0.5059	0.505946834964771	0	No
chr1	2057	2158	102	10698143	11159950	0.6255	0.625480434598375	0	No
chr1	2159	2431	273	11166638	11983618	0.4794	0.479443911053541	0.00732600732600733	No
chr1	2432	2434	3	11985949	11994926	1.0107	1.01068805862916	0	No
chr1	2435	2571	137	12004509	12398433	0.5066	0.506580308456736	0	No
chr1	2572	2731	160	12401843	14219458	0.3911	0.39109456452636	0.0125	No
chr1	2732	2740	9	14219458	15287312	0.7353	0.896688353705962	0.222222222222222	No
