Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1509023	1509125	-0.329	-0.415142499022261	0.017	-0.327	102	0.19634545710867	0.624365462509424	loss	1371.159	1723.462	2432.402	970.89	-0.368	-0.301	2
2	0	-	chr1	2408027	2408151	-0.13	-1.20442497829524	0.054	-0.12	124	0.468957267572912	0.81076179380184	loss	500.243	547.478	886.855	308.223	-0.26	-0.035	1
3	0	-	chr1	2409914	2410061	-0.343	-1.56976026057451	0.064	-0.35	147	0.464100776274404	0.808618703241713	loss	391.78	494.852	694.374	278.568	-0.446	-0.219	1
4	0	-	chr1	2411172	2411416	-0.433	-2.71568421764381	0.16	-0.449	244	0.620087047377039	0.837740297595321	loss	120.447	158.286	212.861	88.912	-0.826	-0.12	1
5	0	-	chr1	2411621	2411751	-0.292	-1.37319896533843	0.104	-0.27	130	0.414974380570995	0.788479306517303	loss	464.972	575	824.262	323.731	-0.51	-0.115	1
6	0	-	chr1	2415886	2416057	-0.219	-1.11447655425417	0.111	-0.232	171	0.310166187080884	0.737150210045212	loss	594.308	680.41	1053.784	383.129	-0.394	-0.017	1
7	0	-	chr1	2418345	2418439	-0.078	-1.06219975610119	0.032	-0.083	94	0.440903150344984	0.803021371368186	loss	562.508	594.103	997.351	334.496	-0.136	-0.005	1
8	0	-	chr1	2418611	2418815	-0.325	-1.84779175080252	0.06	-0.324	204	0.548403406376165	0.824751209455474	loss	284.582	356.407	504.137	200.554	-0.457	-0.196	1
9	0	-	chr1	2419036	2419157	-0.179	-0.932467474179842	0.036	-0.187	121	0.151257809432656	0.552522927625224	loss	699.045	790.322	1239.653	445.065	-0.258	-0.091	1
10	0	-	chr1	2420645	2420817	-0.096	-0.892854299040159	0.056	-0.106	172	0.256431312263478	0.69474995066733	loss	685.687	734.522	1215.948	413.622	-0.212	0.015	1
11	0	-	chr1	2421198	2421306	-0.099	-0.853430497832065	0.038	-0.101	108	0.191095962386638	0.615659288202679	loss	718.603	769.193	1274.361	433.159	-0.193	-0.025	1
12	0	-	chr1	2422630	2422774	-0.107	-0.810464184026244	0.128	-0.124	144	0.0994125445425049	0.446415769912612	loss	758.365	814.894	1344.924	458.911	-0.285	0.121	1
13	0	-	chr1	2426294	2426387	-0.371	-1.52792265094396	0.026	-0.373	93	0.4270299231989	0.795294013353771	loss	417.472	539.682	739.968	303.829	-0.432	-0.313	1
14	0	-	chr1	2426926	2427009	-0.274	-1.67705035081324	0.053	-0.292	83	0.534632789456808	0.822836611863541	loss	331.492	399.378	587.386	224.768	-0.359	-0.191	1
15	0	-	chr1	2428045	2428143	-0.232	-1.40996255670967	0.05	-0.23	98	0.478637540422799	0.814124693645616	loss	429.479	505.858	761.276	284.77	-0.32	-0.119	1
16	0	-	chr1	2428266	2428449	-0.197	-1.29736803186979	0.08	-0.174	183	0.457212944129606	0.807754995805361	loss	477.406	540.947	846.328	304.542	-0.383	-0.082	1
17	0	-	chr1	2428940	2429048	-0.279	-1.90837727087496	0.044	-0.278	108	0.5763278279832	0.828600101062766	loss	257.983	312.342	456.935	175.723	-0.361	-0.193	1
18	0	-	chr1	2429961	2430086	-0.357	-2.31148130505839	0.066	-0.368	125	0.602797920619869	0.833371319327173	loss	174.275	225.111	308.384	126.568	-0.484	-0.206	1
19	0	-	chr1	2430182	2430267	-0.237	-1.69688475455093	0.036	-0.24	85	0.555762022947256	0.82519443365894	loss	315	371.737	558.118	209.192	-0.316	-0.147	1
20	0	-	chr1	2430522	2430669	-0.42	-1.80444128422436	0.047	-0.417	147	0.494621810626759	0.81691321799275	loss	318.931	426.997	565.095	240.331	-0.532	-0.294	1
