Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	35	35	762097	894634	0.0758	0.0758261985400758	0	No
chr1	36	37	2	895935	896923	0.7697	0.769704459649202	0	No
chr1	38	370	333	896923	1354998	0.1439	0.139156063925168	0.012012012012012	No
chr1	371	372	2	1355455	1356061	1.09	1.08996300853885	1	CNV
chr1	373	487	115	1356223	1585714	0.221	0.220962989643036	0.0260869565217391	No
chr1	488	508	21	1594079	1666346	0.7661	0.766087501911237	0.19047619047619	No
chr1	509	593	85	1683520	1951012	0.1867	0.194361263754175	0.0352941176470588	No
chr1	594	1170	577	1956285	6257911	0.1102	0.111371621204248	0.0103986135181976	No
chr1	1171	1426	256	6259611	6704703	0.1987	0.19871414549937	0.0234375	No
chr1	1427	1568	142	6704968	8075733	0.0345	0.0345451662537255	0.00704225352112676	No
chr1	1569	1915	344	8378143	10327566	0.1536	0.15360752151912	0.00872093023255814	No
chr1	1916	1977	62	10328102	10436875	0.0035	0.00347384130016161	0	No
chr1	1978	2034	57	10436924	10523709	0.2175	0.217522970646539	0.0175438596491228	No
chr1	2035	2272	238	10527271	11708851	0.0948	0.094811723319642	0	No
chr1	2273	2522	250	11709124	12268884	0.1854	0.185380155267904	0.004	No
chr1	2523	2790	267	12269111	15644456	0.058	0.0580274404093252	0.0112359550561798	No
chr1	2791	3239	449	15650868	16802559	0.1439	0.143946817703842	0.0178173719376392	No
chr1	3240	3248	9	17017582	17034442	-0.5311	-0.531109029786194	0	No
chr1	3249	3590	342	17046425	19246283	0.1441	0.146351932763215	0.0292397660818713	No
chr1	3591	3710	119	19247537	19542572	-0.0099	-0.00986497851129464	0.00840336134453781	No
chr1	3711	3803	92	19542698	19927595	0.1625	0.160233199811844	0.0326086956521739	No
chr1	3804	3974	171	19948592	20678649	0.0673	0.0673298852904574	0	No
chr1	3975	4096	122	20680293	21134071	0.1785	0.178479473941198	0.0163934426229508	No
chr1	4097	4133	37	21137209	21315782	-0.0865	-0.0864862318032675	0.0540540540540541	No
chr1	4134	4396	261	21324036	22818113	0.154	0.153992890273376	0.0191570881226054	No
chr1	4397	4596	198	22828016	23693634	0.0517	0.0516941303080122	0.00505050505050505	No
chr1	4597	4890	294	23694394	24691023	0.155	0.154988096477176	0.0136054421768707	No
chr1	4891	4892	2	24695597	24696294	-0.686	-0.686043429811714	0	No
chr1	4893	5033	141	24700205	25611190	0.06	0.0599941424822253	0.0212765957446809	No
chr1	5034	5042	9	25617049	25656885	0.7515	0.751489942124199	0	No
chr1	5043	5060	18	25666942	25729336	0.1565	0.156461523899367	0	No
chr1	5061	5066	6	25735241	25780854	-0.3945	-0.394498457693206	0.166666666666667	No
