Chr	Target.Start	Target.End	NumberOfTargets	OriStCoordinate	OriEndCoordinate	CBS.Mean	LogRatios	Above.PValues.Cutoff	Calls
chr1	1	455	455	762097	1533836	0.3444	0.347900443629004	0.010989010989011	No
chr1	456	461	6	1533836	1535433	0.7583	0.758335937691264	0	No
chr1	462	516	55	1550839	1686891	0.2783	0.278318032485002	0.0181818181818182	No
chr1	517	813	296	1687592	2573278	0.3797	0.379739144833607	0.00337837837837838	No
chr1	814	1240	427	2575778	6420782	0.0946	0.0946270490139321	0.00234192037470726	No
chr1	1241	1243	3	6445457	6453824	-0.539	-0.538954741398526	0.333333333333333	No
chr1	1244	3264	2019	6453824	17273504	0.0871	0.0880532472630151	0.00297176820208024	No
chr1	3265	3266	2	17274849	17275526	-0.9012	-0.901233192197791	0.5	CNV
chr1	3267	4068	802	17277557	21069362	0.1347	0.135907539385943	0.0112219451371571	No
chr1	4069	4128	60	21069362	21299646	-0.0367	-0.0366647721545619	0	No
chr1	4129	4510	379	21306774	23382592	0.0955	0.0973644355142287	0.0105540897097625	No
chr1	4511	4512	2	23383914	23384333	0.7809	0.780942456796419	0	No
chr1	4513	5032	520	23385537	25573457	0.0952	0.0951879691187086	0.00576923076923077	No
chr1	5033	5039	7	25611070	25648379	-0.5498	-0.549806205641392	0.285714285714286	No
chr1	5040	6931	1891	25655405	34123696	0.1004	0.102790188527675	0.00951877313590693	No
chr1	6932	6967	36	34128442	34630644	0.308	0.308020071995955	0	No
chr1	6968	7575	607	34631237	38025169	0.1023	0.102340727439132	0.00164744645799012	No
chr1	7576	7577	2	38027221	38027854	0.7683	0.76833199866135	0	No
chr1	7578	7780	203	38030537	38490050	0.0958	0.0893084321711392	0.00985221674876847	No
chr1	7781	7782	2	38490357	38509732	-0.5934	-0.593447635966413	0	No
chr1	7783	10899	3117	38509732	55534829	0.1052	0.105487183840148	0.00577478344562079	No
chr1	10900	11476	577	55537396	63790330	0.0644	0.0697839953148319	0.00346620450606586	No
chr1	11477	11478	2	63790397	63790837	-0.6604	-0.660390828926282	0	No
chr1	11479	15100	3622	63836512	109618625	0.0722	0.0706579024257142	0.00331308669243512	No
chr1	15101	15418	318	109630726	110216152	0.1173	0.117344412313804	0	No
chr1	15419	15422	4	110230340	110233134	0.89	0.890017278495919	0.5	CNV
chr1	15423	16376	954	110254854	115399353	0.0975	0.0990201104310686	0.00524109014675052	No
chr1	16377	16382	6	115399803	115418854	-0.319	-0.319034865695268	0	No
chr1	16383	17106	724	115419309	144912376	0.1047	0.102782959415711	0.00552486187845304	No
chr1	17107	17123	17	144915381	144946667	0.329	0.328989172818279	0	No
chr1	17124	17352	229	144994620	146630939	0.0976	0.0975607510451661	0.00436681222707424	No
chr1	17353	17355	3	146630939	146634215	-0.4188	-0.418780243888011	0	No
chr1	17356	18085	730	146638078	151263930	0.0782	0.0782479861581462	0.00684931506849315	No
chr1	18086	18280	195	151263930	151739398	0.1607	0.160656743434606	0	No
chr1	18281	18478	198	151739540	152552209	0.091	0.0747459192479502	0.00505050505050505	No
chr1	18479	18480	2	152573275	152586639	1.1459	1.14593785210448	0.5	CNV
chr1	18481	18503	23	152595229	152749280	0.1174	0.117425208609773	0	No
chr1	18504	18505	2	152760453	152760967	0.7692	0.769159812415695	0.5	CNV
chr1	18506	18862	357	152771197	154026818	0.1196	0.119610134985193	0.00280112044817927	No
chr1	18863	18864	2	154027134	154029456	-0.6242	-0.624188665897173	0	No
chr1	18865	18921	57	154030513	154199839	0.0725	0.0724565842465451	0	No
chr1	18922	18929	8	154200991	154218941	-0.2021	-0.202116567657624	0	No
chr1	18930	19448	519	154221641	155257775	0.1171	0.117067257329579	0.00192678227360308	No
chr1	19449	19668	220	155257775	155885710	0.0377	0.037735285072869	0.00454545454545455	No
chr1	19669	20230	562	155886362	156950428	0.1171	0.117129916103895	0.00355871886120996	No
chr1	20231	20232	2	156954136	156956046	0.9606	0.960626686977815	0	No
chr1	20233	20720	488	157014016	159863063	0.1023	0.102256470849524	0	No
chr1	20721	20940	220	159869685	160262516	0.1591	0.159126688853385	0	No
chr1	20941	21379	438	160262858	161519855	0.0952	0.0951632751202254	0.00228310502283105	No
