Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1509023	1509125	0.301	0.452840064851348	0.117	0.311	102	0.22559496913582	0.999647775362944	gain	1476.095	1198.739	1247.598	1417.216	0.041	0.542	2
2	0	-	chr1	2408027	2408151	1.228	0.898212244456608	0.176	1.218	124	0.106446374957716	0.999647775362944	gain	415.053	176.798	350.5	208.516	0.89	1.766	1
3	0	-	chr1	2409914	2410061	0.359	0.0264973332263672	0.166	0.319	147	0.962092633140698	0.999647775362944	gain	327.856	258.984	276.776	305.721	0.088	0.885	1
4	0	-	chr1	2411172	2411416	0.486	-0.346433807170803	0.805	0.16	244	0.650817241248213	0.999647775362944	loss	65.435	57.179	54.902	67.037	-0.599	2.167	1
5	0	-	chr1	2411621	2411751	0.698	0.378997544237613	0.23	0.637	130	0.492262703590203	0.999647775362944	gain	381.809	230.375	322.392	271.885	0.249	1.149	1
6	0	-	chr1	2415886	2416057	0.225	-0.0112190041573207	0.296	0.119	171	0.982703107112546	0.999647775362944	loss	414.123	379.254	349.713	447.971	-0.161	1.179	1
7	0	-	chr1	2418345	2418439	0.297	0.066663512957452	0.184	0.242	94	0.897013018864698	0.999647775362944	gain	443.062	365.067	374.181	431.191	0.024	0.793	1
8	0	-	chr1	2418611	2418815	0.389	-0.0646402964235855	0.291	0.377	204	0.915315069775344	0.999647775362944	loss	226.985	174.579	191.49	205.892	-0.142	0.967	1
9	0	-	chr1	2419036	2419157	0.783	0.636922672231835	0.16	0.795	121	0.184532150604626	0.999647775362944	gain	666.28	385.889	562.909	455.818	0.399	1.104	1
10	0	-	chr1	2420645	2420817	0.427	0.187807934450581	0.358	0.272	172	0.717304146865191	0.999647775362944	gain	454.889	331.135	384.18	391.058	-0.043	1.29	1
11	0	-	chr1	2421198	2421306	0.305	0.11931477025368	0.216	0.401	108	0.810076035580479	0.999647775362944	gain	514.93	414.492	434.944	489.648	-0.265	0.597	1
12	0	-	chr1	2422630	2422774	-0.001	-0.101611305681387	0.288	-0.033	144	0.825582511929777	0.999647775362944	loss	600.983	612.199	507.701	723.486	-0.442	0.674	1
13	0	-	chr1	2426294	2426387	-0.209	-0.511803052188349	0.17	-0.191	93	0.347830594326491	0.999647775362944	loss	297.739	346.305	251.312	409	-0.518	0.118	1
14	0	-	chr1	2426926	2427009	0.782	0.389483257530954	0.102	0.777	83	0.503700491635123	0.999647775362944	gain	306.96	179.326	259.108	211.506	0.623	1.006	1
15	0	-	chr1	2428045	2428143	0.836	0.523192819434834	0.179	0.86	98	0.34087861611335	0.999647775362944	gain	400.909	223.269	338.541	263.48	0.466	1.212	1
16	0	-	chr1	2428266	2428449	0.956	0.585577180814774	0.158	0.972	183	0.307041327852499	0.999647775362944	gain	344.182	176.944	290.579	208.689	0.533	1.31	1
17	0	-	chr1	2428940	2429048	0.479	0.0161009264841617	0.218	0.441	108	0.979001919384868	0.999647775362944	gain	224.576	165.511	189.454	195.167	0.186	1.173	1
18	0	-	chr1	2429961	2430086	-0.222	-0.743795230003389	0.677	0.129	125	0.242370146796779	0.999647775362944	loss	162.716	161.664	137.152	190.616	-1.507	0.712	1
19	0	-	chr1	2430182	2430267	0.9	0.492510340592792	0.275	0.86	85	0.402807912275163	0.999647775362944	gain	300.529	163.48	253.671	192.765	0.455	1.336	1
20	0	-	chr1	2430522	2430669	0.582	0.16488634481035	0.369	0.669	147	0.780860441727406	0.999647775362944	gain	274.101	176.131	231.327	207.728	-0.249	1.089	1
21	0	-	chr1	2431079	2431159	1.086	0.766602467785914	0.116	1.075	80	0.164950935273501	0.999647775362944	gain	416	195.427	351.3	230.55	0.799	1.338	1
22	0	-	chr1	2433550	2433848	1.02	0.138398430188604	0.666	1.059	298	0.860201344229358	0.999647775362944	gain	71.318	33.797	59.876	39.383	-0.795	2.085	1
23	0	-	chr1	2435360	2436652	0.943	0.0759317678687473	0.814	0.897	1276	0.922428438493275	0.999647775362944	gain	68.641	41.369	57.612	48.338	-1.269	3.233	1
24	0	-	chr1	3003428	3003530	-0.502	-0.464722654656243	0.143	-0.527	102	0.249735882115663	0.999647775362944	loss	771.223	1097.198	651.637	1297.118	-0.767	-0.174	2
25	0	-	chr1	4510054	4510156	-0.085	-0.15402741615908	0.127	-0.112	102	0.730965296342705	0.999647775362944	loss	646.93	692.391	546.549	818.333	-0.296	0.218	1
