Targeted.Region.ID	Exon.Number	Gene.Sym	Chr	OriStCoordinate	OriEndCoordinate	Mean.of.LogRatio	Adjusted.Mean.of.LogRatio	SD.of.LogRatio	Median.of.LogRatio	number.bases	P.Value	Adjusted.P.Value	gain.loss	tumour.rd	normal.rd	tumour.rd.ori	normal.rd.ori	MinLogRatio	MaxLogRatio	BinNumber
1	0	SSU72	chr1	1509023	1509125	-0.88	-0.24102630298041	0.451	-0.845	102	0.956939098966218	0.999957038123823	loss	321.702	561.898	124.608	1447.118	-2.106	-0.248	2
2	0	-	chr1	2408027	2408151	1.901	2.71652173171793	0.454	1.848	124	0.587038552031722	0.999957038123823	gain	596.033	155.411	231.032	399.315	0.335	2.565	1
3	0	-	chr1	2409914	2410061	0.446	1.84304525233825	0.367	0.383	147	0.785525132507456	0.999957038123823	gain	254.43	186.271	98.51	478.864	-0.234	1.059	1
4	0	-	chr1	2411172	2411416	0.454	2.9729432920924	0.398	0.419	244	0.77047256368129	0.999957038123823	gain	91.512	65.9	35.307	168.582	-0.665	1.466	1
5	0	-	chr1	2411621	2411751	1.004	2.09456037845502	0.49	1.166	130	0.719818348769272	0.999957038123823	gain	397.169	186.661	153.885	479.869	-0.109	1.612	1
6	0	-	chr1	2415886	2416057	-2.606	-1.47722217588411	4.349	-0.228	171	0.804106835253978	0.999957038123823	loss	313.759	249.951	121.526	643.012	-9.001	1.628	1
7	0	-	chr1	2418345	2418439	1.759	2.70143002913239	0.24	1.794	94	0.616111894414061	0.999957038123823	gain	518.043	150.794	200.777	387.415	1.207	2.08	1
8	0	-	chr1	2418611	2418815	-1.035	1.28455701881311	0.901	-0.911	204	0.893361320996827	0.999957038123823	gain	64.26	124.756	24.735	320.294	-5.657	0.283	1
9	0	-	chr1	2419036	2419157	0.631	1.37831149210141	0.261	0.718	121	0.773715844728079	0.999957038123823	gain	486.451	313.531	188.521	806.901	0.128	1.087	2
10	0	-	chr1	2420645	2420817	0.878	1.77191652258522	0.687	1.206	172	0.735265831441803	0.999957038123823	gain	479.668	219.617	185.89	564.82	-0.324	1.928	1
11	0	-	chr1	2421198	2421306	1.453	2.10165735814711	0.252	1.551	108	0.639980609447991	0.999957038123823	gain	644.544	231.239	249.852	594.778	0.305	1.84	2
12	0	-	chr1	2422630	2422774	1.472	1.96712698950732	0.539	1.523	144	0.625098060541788	0.999957038123823	gain	752.975	255.308	291.917	656.819	-3.033	2.129	2
13	0	-	chr1	2426294	2426387	1.837	2.63278581836477	0.198	1.834	93	0.594176208770659	0.999957038123823	gain	599.581	165.596	232.409	425.57	1.518	2.289	2
14	0	-	chr1	2426926	2427009	1.455	2.73352894881937	0.382	1.586	83	0.669868555186876	0.999957038123823	gain	363.677	127.656	140.892	327.771	0.307	1.95	1
15	0	-	chr1	2428045	2428143	1.869	2.47731250219216	0.75	2.185	98	0.57082998317184	0.999957038123823	gain	732.279	176.535	283.888	453.765	-0.309	2.473	2
16	0	-	chr1	2428266	2428449	-0.977	0.29558115150517	3.631	1.07	183	0.963126743337916	0.999957038123823	gain	330.334	163.688	127.956	420.65	-7.702	1.762	1
17	0	-	chr1	2428940	2429048	1.424	3.02230544027295	0.371	1.488	108	0.682387471314244	0.999957038123823	gain	267.006	99.378	103.389	254.88	0.425	1.965	1
18	0	-	chr1	2429961	2430086	0.673	2.81308639857705	1.506	1.624	125	0.755554599159893	0.999957038123823	gain	163.555	59.3	63.256	151.568	-1.479	2.203	1
19	0	-	chr1	2430182	2430267	2.059	2.92785826862558	0.167	1.986	85	0.570733642221668	0.999957038123823	gain	576.875	138.676	223.6	356.176	1.691	2.466	1
20	0	-	chr1	2430522	2430669	-0.175	1.55364113739224	0.76	-0.207	147	0.841772427746961	0.999957038123823	gain	158.652	166.431	61.354	427.721	-1.4	1.096	1
21	0	-	chr1	2431079	2431159	-1.402	0.25227058014695	0.882	-1.722	80	0.973366888874023	0.999957038123823	gain	110.729	237.314	42.763	610.438	-3.058	-0.239	1
22	0	-	chr1	2433550	2433848	-1.24	1.97280714734114	2.927	0.075	281	0.8726054940085	0.999957038123823	gain	39.624	43.651	15.178	111.231	-6.714	1.739	1
23	0	-	chr1	2435360	2436652	-0.353	2.86924375337765	2.2	-0.173	1253	0.816018668279916	0.999957038123823	gain	42.367	40.19	16.242	102.308	-7.43	3.449	1
24	0	-	chr1	3003428	3003530	-0.845	-0.18995680591448	0.45	-0.722	102	0.966424662149362	0.999957038123823	loss	315.713	554.953	122.284	1429.216	-1.699	-0.129	2
25	0	-	chr1	4510054	4510156	1.326	1.58578483547297	0.432	1.418	102	0.631766001805	0.999957038123823	gain	903.43	347.902	350.284	895.5	0.626	2.052	2
26	0	NPHP4	chr1	6011300	6011402	0.917	1.74042787354265	0.61	1.004	102	0.729111113833513	0.999957038123823	gain	497.568	248.444	192.833	639.127	-1.453	1.781	1
27	0	-	chr1	7503222	7503323	0.628	1.1171052388435	0.198	0.643	101	0.78042826263704	0.999957038123823	gain	617.746	396.124	239.455	1019.802	0.317	1.06	2
28	0	-	chr1	9032969	9033070	0.632	1.05347657341486	0.261	0.747	101	0.781682149542064	0.999957038123823	gain	659.959	418.824	255.832	1078.317	0.11	1.024	2
29	0	-	chr1	10517883	10517985	-9.779	-8.44315995057065	0.54	-10.027	102	0.199871283528406	0.999957038123823	loss	0.5	465.661	0	1199.049	-10.345	-7.506	1
30	0	MTOR	chr1	11167541	11167557	-0.322	0.237795170002501	0.145	-0.38	16	0.955092028356341	0.999957038123823	gain	423.083	527.107	163.938	1357.438	-0.451	-0.007	2
31	0	MTOR	chr1	11168237	11168343	0.284	0.70691701209313	0.21	0.343	106	0.85264298450147	0.999957038123823	gain	594.88	482.478	230.585	1242.396	-0.26	0.645	2
32	0	MTOR	chr1	11169346	11169427	-0.377	0.242488784926955	0.45	-0.358	81	0.956094939063271	0.999957038123823	gain	400.267	499.274	155.086	1285.691	-0.971	0.319	2
33	0	MTOR	chr1	11169705	11169786	-1.443	-0.359618953221172	0.452	-1.382	81	0.950708064611888	0.999957038123823	loss	162.8	424.889	62.963	1093.951	-2.427	-1.046	1
34	0	MTOR	chr1	11172908	11172974	1.104	1.07413869902846	0.159	1.158	66	0.658036906438762	0.999957038123823	gain	1116.1	516.216	432.788	1329.364	0.512	1.258	2
35	0	MTOR	chr1	11174374	11174510	0.639	1.41900815531137	0.246	0.635	136	0.771829121481439	0.999957038123823	gain	474.551	301.785	183.904	776.625	0.154	1.337	2
36	0	MTOR	chr1	11174869	11174944	-0.999	-0.269344807207049	0.719	-0.839	75	0.954686057891908	0.999957038123823	loss	296.421	516.628	114.8	1330.427	-2.278	-0.207	2
37	0	MTOR	chr1	11175452	11175525	0.754	1.06338329088354	0.751	0.221	73	0.758587764075466	0.999957038123823	gain	784.899	410.757	304.301	1057.521	-1.105	1.855	2
38	0	MTOR	chr1	11177060	11177143	-0.346	0.102265481226557	0.402	-0.468	83	0.978988801904979	0.999957038123823	gain	470.015	582.572	182.145	1500.41	-0.846	0.565	2
39	0	MTOR	chr1	11181302	11181425	0.981	1.69796279456817	0.338	1.078	123	0.71797870764982	0.999957038123823	gain	550.997	271.577	213.561	698.756	0.19	1.331	2
40	0	MTOR	chr1	11182035	11182183	0.264	0.71884188199599	0.341	0.21	148	0.853876146200524	0.999957038123823	gain	578.045	468.209	224.054	1205.615	-0.284	0.859	2
41	0	MTOR	chr1	11184554	11184690	-0.031	0.2017522684829	0.342	-0.084	136	0.950142574630724	0.999957038123823	gain	644.604	638.157	249.875	1643.691	-0.895	0.567	2
42	0	MTOR	chr1	11186678	11186853	0.609	1.01768544765077	0.43	0.719	175	0.78678760526589	0.999957038123823	gain	674.754	416.766	261.571	1073.011	-0.228	1.219	2
43	0	MTOR	chr1	11187066	11187201	1.222	1.48941507173131	0.197	1.26	135	0.654890002332655	0.999957038123823	gain	873.559	369.042	338.696	949.993	0.719	1.66	2
44	0	MTOR	chr1	11187680	11187863	-0.079	0.785524957444311	0.501	0.077	183	0.878789099799647	0.999957038123823	gain	359.717	358.685	139.355	923.295	-1.939	0.864	1
45	0	MTOR	chr1	11188060	11188183	1.006	1.60349303670436	0.417	1.064	123	0.711621046017958	0.999957038123823	gain	612.778	305.104	237.528	785.179	-0.207	1.736	2
46	0	MTOR	chr1	11188510	11188609	0.175	1.03157659126145	0.411	0.262	99	0.840526994532213	0.999957038123823	gain	388.614	335.047	150.566	862.364	-0.759	0.784	1
47	0	MTOR	chr1	11188911	11189008	-0.501	0.224776499902437	0.67	-0.029	97	0.962083522271323	0.999957038123823	gain	352.769	463.179	136.66	1192.649	-1.699	0.34	2
48	0	MTOR	chr1	11189794	11189895	1.28	1.32950039659713	0.723	1.679	101	0.618323997477127	0.999957038123823	gain	1105.749	411.918	428.772	1060.515	-0.042	2.029	2
